Date,BTC,ETH,XRP,LINK,LTC,BCH,ADA
2020/6/3,9516.135443,237.3090653,0.202639894,4.399816195,45.95860054,251.0486066,0.078785032
2020/6/4,9667.060754,244.5193628,0.203944666,4.493592334,47.15080718,252.9487181,0.085237702
2020/6/5,9811.367095,243.4132804,0.2043782,4.428399942,47.45831394,256.2544339,0.08850431
2020/6/6,9659.661298,240.7663786,0.203259547,4.381474218,47.00125264,256.7324089,0.085555828
2020/6/7,9677.050995,242.3213963,0.203650417,4.355292988,46.81835966,253.4468069,0.08618532
2020/6/8,9737.458559,243.8256551,0.203096813,4.337787796,46.55746413,252.7980841,0.085991857
2020/6/9,9791.9279,247.0407956,0.204224423,4.460281974,46.45020541,255.1583287,0.086372789
2020/6/10,9786.14202,244.5428507,0.201750574,4.445183853,46.02963139,254.7425851,0.083536673
2020/6/11,9874.967048,247.4454296,0.202603261,4.429166654,46.64086594,257.1038254,0.083537095
2020/6/12,9260.832641,230.5056339,0.187936834,3.93450622,43.15418707,233.7973045,0.075169674
2020/6/13,9464.228097,237.2197469,0.192848271,4.082577175,44.65231155,240.4355691,0.079166097
2020/6/14,9458.659754,238.2201401,0.192529782,4.102849031,45.08434309,240.7807263,0.07858198
2020/6/15,9351.953728,232.6132805,0.190541215,3.959112417,44.14931842,238.1150231,0.076527041
2020/6/16,9441.768996,231.2550027,0.192650953,3.942254249,43.82508507,236.2095868,0.078788771
2020/6/17,9510.660637,234.750921,0.191937729,4.044592941,43.79574889,236.9207774,0.078802107
2020/6/18,9457.627074,234.031026,0.193199864,4.167820653,44.02053088,240.5529496,0.083487621
2020/6/19,9398.642094,231.8059383,0.190060918,4.167584722,43.51493316,236.3492696,0.082136374
2020/6/20,9279.760765,228.8903068,0.186720905,4.084499984,42.79171688,232.9022807,0.079598095
2020/6/21,9353.078196,228.7451599,0.18805116,4.180084496,43.5566332,232.6475263,0.079317607
2020/6/22,9289.104491,227.6154757,0.185737774,4.182051772,42.95253072,229.8887362,0.078255539
2020/6/23,9680.947128,243.228194,0.189751836,4.479086297,44.33233673,241.291571,0.083680801
2020/6/24,9609.680246,242.9270899,0.188764056,4.800796765,44.07255698,239.9888003,0.082816385
2020/6/25,9311.136318,235.1756536,0.183839108,4.708626723,42.68349847,233.176829,0.082792933
2020/6/26,9252.633372,232.5691464,0.181684087,4.805115428,42.35489055,232.3305234,0.08154694
2020/6/27,9171.732086,229.9450698,0.183003609,4.692372737,43.17057525,230.7942459,0.080625822
2020/6/28,9022.153768,221.4079024,0.175905884,4.435624837,41.19181799,216.8874968,0.077561194
2020/6/29,9101.850057,224.1848295,0.176757313,4.531685862,41.25796786,221.9286485,0.079910601
2020/6/30,9188.061375,228.333342,0.17743006,4.606797383,41.91046757,225.2839053,0.083765895
2020/7/1,9148.444859,225.9467951,0.175366749,4.573028805,41.25183514,222.6686194,0.083223299
2020/7/2,9236.31677,230.7048875,0.176725831,4.68625303,41.81086747,223.7232639,0.092928509
2020/7/3,9097.797366,226.722979,0.175346771,4.786168305,40.95772022,219.9533183,0.093441327
2020/7/4,9094.324561,226.3593386,0.176859163,4.785755971,41.26070166,221.9177897,0.096759354
2020/7/5,9124.653534,228.807199,0.177918611,4.797111266,42.02226459,225.0259238,0.098575336
2020/7/6,9055.464483,227.0958438,0.17637614,4.742239286,41.44308849,220.6005031,0.098082228
2020/7/7,9278.805637,238.929701,0.187081771,5.271746234,43.71582244,240.5934481,0.104032005
2020/7/8,9244.415815,238.4339891,0.184751201,5.764003761,43.26314285,237.324246,0.118014055
2020/7/9,9471.759973,248.2818793,0.205461648,6.47869715,45.56154003,244.8725277,0.129956264
2020/7/10,9236.143254,241.7872199,0.201908515,6.09954803,44.34841536,237.7192728,0.124117598
2020/7/11,9243.175259,240.1467527,0.198096929,6.123790681,44.17846869,237.601423,0.118506479
2020/7/12,9229.859755,238.9943355,0.201083767,6.089266116,44.44773091,236.2179951,0.125740208
2020/7/13,9286.737042,240.2236659,0.200437716,7.153453151,44.64896546,236.8343509,0.123931934
2020/7/14,9238.993755,239.3273162,0.198343242,7.117916082,43.89283402,231.6958558,0.124578113
2020/7/15,9260.47098,240.8414253,0.198832708,8.113328391,43.73040508,230.5625243,0.131023539
2020/7/16,9211.026433,238.4254491,0.197559849,8.643420286,43.30042288,227.5682637,0.129917641
2020/7/17,9133.77783,233.0853182,0.193125939,8.490411406,42.01513689,224.2858688,0.125647358
2020/7/18,9160.410591,232.897595,0.194126329,8.298246933,41.90940287,222.9560624,0.123129237
2020/7/19,9176.68639,235.7401242,0.199554691,7.988178635,42.49211906,224.6151501,0.122859221
2020/7/20,9190.271534,237.7425541,0.199226246,8.091540966,42.54894261,227.3675037,0.124364311
2020/7/21,9172.588333,236.0678442,0.194375322,7.3657559,41.91186446,222.9265168,0.117835941
2020/7/22,9395.064446,245.2152675,0.198786962,7.1675273,43.59651303,230.018183,0.123307136
2020/7/23,9530.790885,264.0682845,0.202585425,7.443056801,44.61084181,237.6249268,0.123571426
2020/7/24,9617.377861,275.8085217,0.208061039,7.894075583,45.14055141,239.4618401,0.124637491
2020/7/25,9568.974726,282.0835889,0.205122059,7.48016536,44.35110746,236.0845818,0.121528628
2020/7/26,9708.94914,305.6981196,0.215104936,7.665398032,49.28779425,251.5658165,0.13921251
2020/7/27,9938.951223,312.1649089,0.215804503,7.538454913,48.24400753,248.8016113,0.149313955
2020/7/28,11187.77973,329.6317211,0.228373997,7.138861803,55.32183832,273.9006895,0.140530547
2020/7/29,10939.67014,317.150009,0.231017154,7.137821749,55.53504173,291.2594632,0.149898628
2020/7/30,11284.45899,322.5821788,0.247640168,7.085677919,55.9249167,291.7936984,0.141388609
2020/7/31,11118.91841,336.2069898,0.246115498,7.402859201,57.7249513,293.8632283,0.141460118
2020/8/1,11373.31726,346.0277183,0.258617611,7.724164119,58.39915784,301.6113611,0.139917446
2020/8/2,11766.7483,385.3971442,0.29406739,8.296792088,61.46745157,319.8449455,0.144391295
2020/8/3,11139.09838,376.7304078,0.290894666,8.300618519,57.29901135,286.0997407,0.134456162
2020/8/4,11261.80633,389.0088526,0.311210136,8.83462115,58.501524,296.4663177,0.137436501
2020/8/5,11228.02632,391.4719188,0.302844205,9.8810706,57.82674915,289.1169183,0.144551174
2020/8/6,11653.40759,398.7823156,0.301605258,9.495965738,58.47971789,291.0275653,0.141728798
2020/8/7,11796.81736,395.0946703,0.304378991,9.663378143,59.32069014,309.3463061,0.143573667
2020/8/8,11639.93541,382.7311752,0.296183811,9.996462107,57.66170102,305.3101604,0.140212826
2020/8/9,11744.91208,390.8088262,0.294386433,12.71438488,57.99127965,303.6952097,0.146760555
2020/8/10,11673.12324,388.3353163,0.288326112,14.10484006,56.76427287,298.5920288,0.144822775
2020/8/11,11832.22731,395.3996937,0.294695407,13.34018669,58.27754708,303.0214866,0.143458602
2020/8/12,11340.58234,375.7376316,0.280590515,12.79459471,53.84165628,279.0667776,0.134855086
2020/8/13,11549.54631,385.6144268,0.280666127,15.82135733,54.37798144,283.6113165,0.136671012
2020/8/14,11752.16866,426.5197718,0.291383153,17.43814142,57.23210281,297.033404,0.139845566
2020/8/15,11783.28341,439.4651312,0.301962011,16.98967819,56.95730525,295.0269599,0.139341655
2020/8/16,11895.62695,432.5808731,0.300305192,18.99860109,60.28207076,303.720593,0.138392724
2020/8/17,11896.94717,432.9948223,0.300996159,19.03076074,62.22813106,306.7167252,0.138729201
2020/8/18,12399.11188,439.1354267,0.321769255,18.71471517,68.09085569,325.232728,0.14220827
2020/8/19,12071.73891,426.6580776,0.305664127,16.71064575,66.75904841,307.9298536,0.13849704
2020/8/20,11749.82951,406.7773731,0.289104014,16.54984362,61.55236159,290.6182647,0.130790527
2020/8/21,11833.89735,414.8923131,0.290688993,16.09895138,62.42965246,292.0280886,0.132827088
2020/8/22,11583.13894,392.9193709,0.281824053,14.49617231,59.93854292,285.998217,0.124335766
2020/8/23,11674.62435,393.7887017,0.284195912,16.25340028,60.28170293,285.9934888,0.126036802
2020/8/24,11666.41012,392.2001782,0.285144955,14.97817074,60.66594102,284.1375509,0.121848188
2020/8/25,11744.0127,406.0046386,0.288679647,15.07968304,62.0530229,290.6899876,0.124324521
2020/8/26,11378.72603,383.7475334,0.277270153,14.31537243,58.52938513,276.5603968,0.11298644
2020/8/27,11458.8226,386.4422056,0.27718724,14.99041543,58.18882282,274.8313761,0.114806927
2020/8/28,11302.12096,381.5294807,0.262653142,14.44423276,55.69544563,263.7289715,0.105395773
2020/8/29,11482.22569,391.9147664,0.270030769,15.1183034,56.67931779,266.6991158,0.108801168
2020/8/30,11515.04443,402.903116,0.275006414,16.56919072,57.29259577,269.2817499,0.115435658
2020/8/31,11657.00393,423.0770923,0.281837802,16.67935466,61.93985559,276.6174583,0.116784998
2020/9/1,11678.37326,435.2801715,0.281656342,15.94525136,61.08697438,274.7972121,0.122649872
2020/9/2,11964.20867,480.5552222,0.296297519,16.19595061,63.36223131,287.3624112,0.125864901
2020/9/3,11427.7026,441.8792973,0.277925032,14.9520291,58.44322286,265.1234073,0.116043733
2020/9/4,10712.92065,399.5571541,0.260303893,13.00985279,52.98107937,242.7492585,0.103211208
2020/9/5,10563.89694,391.8715285,0.256198561,12.63217327,51.1637644,233.350279,0.103206333
2020/9/6,10042.85485,329.0848012,0.233500668,10.37649522,46.73971045,220.7985943,0.088171693
2020/9/7,10207.605,349.4605532,0.239609537,12.52308562,47.65009452,225.4186866,0.091601563
2020/9/8,10381.77611,354.3037632,0.242688856,12.51105497,48.68881686,228.868593,0.093488103
2020/9/9,10043.19644,334.0254168,0.234443194,11.49022154,46.85150976,220.3914768,0.089569799
2020/9/10,10268.46092,354.5133293,0.240394664,12.42281445,48.07907111,224.9525151,0.094000356
2020/9/11,10341.01598,367.1263141,0.243403633,12.55437,48.64044954,226.7379993,0.097211274
2020/9/12,10380.5396,374.2875959,0.243329122,12.52851239,48.98554358,225.2367613,0.096727563
2020/9/13,10436.36541,383.9274938,0.247170701,12.59439518,50.88733227,228.5925966,0.09720752
2020/9/14,10313.06858,364.5362188,0.241808723,11.99325732,48.02002975,221.7106969,0.094461546
2020/9/15,10680.29756,373.5045266,0.24567871,12.06436261,48.70359129,224.0838445,0.095995631
2020/9/16,10829.50531,365.8433246,0.244243118,11.07439032,48.67351713,235.8305588,0.093759881
2020/9/17,11033.38353,367.4346465,0.248963226,10.88639255,48.31965614,232.8771693,0.091825302
2020/9/18,10937.11126,389.3184008,0.25204599,10.87468855,49.02235882,233.5623937,0.094350065
2020/9/19,10933.93116,382.9262672,0.250217856,10.12063087,48.28112109,233.7482753,0.090598646
2020/9/20,11048.87928,384.250568,0.251221203,10.08117512,48.38564008,232.9908635,0.091423705
2020/9/21,10852.91014,367.3231537,0.244421899,9.551569254,46.56222926,223.669212,0.088272825
2020/9/22,10526.20289,347.5680273,0.233565494,8.977592871,43.70660799,215.0124161,0.081082506
2020/9/23,10531.16456,345.1418278,0.233316095,8.741200338,44.46028865,216.6861837,0.082082925
2020/9/24,10260.03301,322.3349075,0.223449785,7.864190836,43.04741303,208.0507772,0.077203244
2020/9/25,10672.95681,348.9888399,0.231996559,9.791851775,44.77884414,216.0355455,0.082817785
2020/9/26,10729.06961,354.7818319,0.243190735,10.83071654,46.30852603,217.7954225,0.096855007
2020/9/27,10741.47647,354.0452726,0.241693633,10.2629056,46.03461846,221.6678491,0.094853175
2020/9/28,10752.34545,354.9380677,0.242504908,10.77331108,45.98778304,227.6622737,0.10089149
2020/9/29,10863.06572,361.7481129,0.246553395,10.6950975,46.19486239,229.6891481,0.102934068
